Trial, S, K, r, sigma, Moneyness, MC price, 95% CI lower, 95% CI upper, BS Price, BS in CI?
1, 100, 90, 0.03, 0.20, ITM, 10.3921, 10.1067, 10.6776, 10.4506, Yes
2, 100, 95, 0.05, 0.25, ITM, 10.2287, 9.94314, 10.5143, 10.4506, Yes
3, 105, 100, 0.04, 0.20, ITM, 13.2463, 13.2137, 13.2788, 13.2423, Yes
4, 110, 100, 0.06, 0.30, ITM, 21.6429, 21.5883, 21.6975, 21.6641, Yes
5, 120, 110, 0.02, 0.15, ITM, 14.5539, 14.5242, 14.5836, 14.5573, Yes
6, 95, 90, 0.03, 0.35, ITM, 16.8424, 16.7908, 16.894, 16.855, Yes
7, 125, 110, 0.05, 0.25, ITM, 24.3591, 24.3057, 24.4124, 24.3543, Yes
8, 150, 130, 0.04, 0.40, ITM, 36.519, 36.4169, 36.6211, 36.5437, Yes
9, 80, 70, 0.02, 0.20, ITM, 13.2758, 13.2485, 13.303, 13.2656, Yes
10, 200, 175, 0.06, 0.30, ITM, 43.6782, 43.5755, 43.7809, 43.67, Yes
11, 100, 100, 0.05, 0.20, ATM, 10.4287, 10.3999, 10.4575, 10.4506, Yes
12, 100, 100, 0.03, 0.30, ATM, 13.274, 13.2311, 13.3169, 13.2833, Yes
13, 100, 100, 0.07, 0.15, ATM, 9.77723, 9.75428, 9.80018, 9.77309, Yes
14, 105, 105, 0.04, 0.25, ATM, 12.4385, 12.401, 12.4759, 12.4289, Yes
15, 95, 95, 0.02, 0.40, ATM, 15.8604, 15.8038, 15.9169, 15.8692, Yes
16, 120, 120, 0.06, 0.20, ATM, 13.1701, 13.1348, 13.2054, 13.1875, Yes
17, 80, 80, 0.03, 0.50, ATM, 16.7486, 16.6848, 16.8124, 16.7692, Yes
18, 150, 150, 0.05, 0.10, ATM, 10.2053, 10.1826, 10.228, 10.2074, Yes
19, 200, 200, 0.04, 0.35, ATM, 31.3197, 31.216, 31.4234, 31.3363, Yes
20, 70, 70, 0.01, 0.25, ATM, 7.26916, 7.24546, 7.29286, 7.28248, Yes
21, 100, 110, 0.03, 0.20, OTM, 5.27848, 5.25706, 5.29989, 5.2934, Yes
22, 100, 120, 0.05, 0.25, OTM, 4.9884, 4.96406, 5.01274, 5.02541, No
23, 105, 115, 0.04, 0.30, OTM, 10.2789, 10.2391, 10.3187, 10.2852, Yes
24, 110, 130, 0.06, 0.35, OTM, 10.6927, 10.6458, 10.7396, 10.6708, Yes
25, 120, 150, 0.02, 0.20, OTM, 2.14072, 2.12557, 2.15586, 2.14105, Yes
26, 95, 110, 0.03, 0.40, OTM, 10.7757, 10.7273, 10.8241, 10.7808, Yes
27, 125, 140, 0.05, 0.15, OTM, 4.30774, 4.28955, 4.32593, 4.3076, Yes
28, 150, 180, 0.04, 0.30, OTM, 9.9235, 9.87588, 9.97112, 9.88849, Yes
29, 80, 100, 0.02, 0.25, OTM, 2.59696, 2.5811, 2.61282, 2.59068, Yes
30, 200, 225, 0.06, 0.20, OTM, 11.1002, 11.0563, 11.1441, 11.1339, Yes
